diag,proc,msp,din
B420,31590,0701,
B421,31591,07020,
B427,31592,07021,
B4281,31599,07022,
B4282,38308,07023,
B4289,38542,07030,
B429,38720,07031,
B430,38724,07032,
B431,41135,07033,
B432,41140,07041,
B438,41145,07042,
B439,41155,07043,
B440,42420,07044,
B441,42425,07049,
B442,42426,07051,
B447,60280,07052,
B4481,60281,07053,
B4489,69150,07054,
B449,69155,07059,
B450,60000,0706,
B451,50010,07070,
B452,50020,07071,
B453,50040,0709,
B457,50045,071,
B458,50060,0720,
B459,50065,0721,
B460,50070,0722,
B461,50075,0723,
B462,50120,07271,
B463,50125,07272,
B464,50130,07279,
B465,50135,0728,
B468,50205,0729,
B469,50220,0730,
B470,50225,0737,
B471,50230,0738,
B479,50234,0739,
B480,50236,0740,
B481,50240,0741,
B482,50250,07420,
B483,50280,07421,
B484,50290,07422,
B488,50320,07423,
B49,50400,0743,
B500,50405,0748,
B508,50541,075,
B509,50542,0760,
B510,50543,0761,
B518,50545,0769,
B519,50546,0770,
B520,50547,0771,
B528,50548,0772,
B529,50549,0773,
B530,58660,0774,
B531,58661,0778,
B538,58662,07798,
B54,58679,07799,
B550,58720,0780,
B551,58740,07810,
B552,58800,07811,
B559,58805,07812,
B560,58820,07819,
B561,58822,0782,
B569,58825,0783,
B570,58900,0784,
B571,58920,0785,
B572,58925,0786,
B5730,58940,0787,
B5731,58943,07881,
B5732,58950,07882,
B5739,58952,07888,
B5740,58970,07889,
B5741,33202,0790,
B5742,33203,0791,
B5749,33206,0792,
B575,33207,0793,
B5800,33208,0794,
B5801,33212,07950,
B5809,33213,07951,
B581,33214,07952,
B582,33215,07953,
B583,33216,07959,
B5881,33217,0796,
B5882,33218,07981,
B5883,33220,07982,
B5889,33221,07983,
B589,33222,07988,
B59,33223,07989,
B600,33224,07998,
B6000,33225,07999,
B6001,33226,080,
B6002,33227,0810,
B6003,33228,0811,
B6009,33229,0812,
B6010,33230,0819,
B6011,33231,0820,
B6012,33233,0821,
B6013,33234,0822,
B6019,33235,0823,
B602,33236,08240,
B608,33237,08241,
B64,33238,08249,
B650,33240,0828,
B651,33241,0829,
B652,33243,0830,
B653,33244,0831,
B658,33249,0832,
B659,33262,0838,
B660,33263,0839,
B661,33264,0840,
B662,33270,0841,
B663,33271,0842,
B664,33272,0843,
B665,33273,0844,
B668,0571T,0845,
B669,0572T,0846,
B670,0573T,0847,
B671,0574T,0848,
B672,55705,0849,
B6731,55810,0850,
B6732,55812,0851,
B6739,55815,0852,
B674,55821,0853,
B675,55831,0854,
B6761,55840,0855,
B6769,55842,0859,
B677,55845,0860,
B678,55866,0861,
B6790,55867,0862,
B6799,33889,0863,
B680,35501,0864,
B681,35506,0865,
B689,35508,0869,
B690,35509,0870,
B691,35510,0871,
B6981,35511,0879,
B6989,35512,0880,
B699,35515,08881,
B700,35516,08882,
B701,35518,08889,
B710,35521,0889,
B711,35522,0900,
B718,35523,0901,
B719,35525,0902,
B72,35533,0903,
B7300,35556,09040,
B7301,35558,09041,
B7302,35566,09042,
B7309,35570,09049,
B731,35571,0905,
B740,35583,0906,
B741,35585,0907,
B742,35587,0909,
B743,35616,0910,
B744,35621,0911,
B748,35623,0912,
B749,35650,0913,
B75,35654,0914,
B760,35656,09150,
B761,35661,09151,
B768,35666,09152,
B769,35671,09161,
B770,35686,09162,
B7781,45110,09169,
B7789,45111,0917,
B779,45112,09181,
B780,45113,09182,
B781,45114,09189,
B787,45116,0919,
B789,45119,0920,
B79,45120,0929,
B80,45121,0930,
B810,45126,0931,
B811,45395,09320,
B812,45397,09321,
B813,45540,09322,
B814,45541,09323,
B818,45550,09324,
B820,45562,09381,
B829,45563,09382,
B830,57307,09389,
B831,43846,0939,
B832,43496,0940,
B833,44010,0941,
B834,44020,0942,
B838,44021,0943,
B839,44120,09481,
B850,44125,09482,
B851,44126,09483,
B852,44127,09484,
B853,44130,09485,
B854,44186,09486,
B86,44187,09487,
B870,44202,09489,
B871,44300,0949,
B872,44310,0950,
B873,44312,0951,
B874,44314,0952,
B8781,44316,0953,
B8782,44602,0954,
B8789,44603,0955,
B879,44615,0956,
B880,44640,0957,
B881,44650,0958,
B882,44800,0959,
B883,45136,096,
B888,38100,0970,
B889,38101,0971,
B89,38102,0979,
B900,38115,0980,
B901,38120,09810,
B902,20101,09811,
B908,21603,09812,
B909,31770,09813,
B91,31775,09814,
B92,32096,09815,
B940,32097,09816,
B941,32100,09817,
B942,32110,09819,
B948,32120,0982,
B949,32124,09830,
B950,32140,09831,
B951,32141,09832,
B952,32151,09833,
B953,32200,09834,
B954,32215,09835,
B955,32220,09836,
B9561,32225,09837,
B9562,32310,09839,
B957,32320,09840,
B958,32440,09841,
B960,32442,09842,
B961,32445,09843,
B9620,32480,09849,
B9621,32482,09850,
B9622,32484,09851,
B9623,32486,09852,
B9629,32488,09853,
B963,32491,09859,
B964,32501,0986,
B965,32503,0987,
B966,32504,09881,
B967,32505,09882,
B9681,32506,09883,
B9682,32507,09884,
B9683,32540,09885,
B9689,32553,09886,
B970,32607,09889,
B9710,32608,0990,
B9711,32609,0991,
B9712,32651,0992,
B9719,32652,0993,
B9721,32655,09940,
B9729,32662,09941,
B9730,32663,09949,
B9731,32666,09950,
B9732,32667,09951,
B9733,32668,09952,
B9734,32669,09953,
B9735,32670,09954,
B9739,32671,09955,
